timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-13 16:00:00-04:00,3.38,,
2026-05-14 16:00:00-04:00,2.69,2.86,6.5
2026-02-12 16:00:00-05:00,2.21,2.38,7.89
2025-11-13 16:00:00-05:00,2.09,2.17,3.65
2025-08-14 16:00:00-04:00,2.36,2.48,5.13
2025-05-15 16:00:00-04:00,2.31,2.39,3.45
2025-02-13 16:00:00-05:00,2.3,2.38,3.67
2024-11-14 16:00:00-05:00,2.19,2.32,5.71
2024-08-15 16:00:00-04:00,2.03,2.12,4.68
2024-05-16 16:00:00-04:00,1.99,2.09,5.27
2024-02-15 16:00:00-05:00,1.91,2.13,11.78
2023-11-16 16:00:00-05:00,1.99,2.12,6.44
2023-08-17 16:00:00-04:00,1.75,1.9,8.88
2023-05-18 16:00:00-04:00,1.83,2.0,9.49
2023-02-16 16:00:00-05:00,1.92,2.03,5.68
2022-11-17 16:00:00-05:00,1.74,2.03,16.87
2022-08-18 16:00:00-04:00,1.78,1.94,8.69
2022-05-19 16:00:00-04:00,1.9,1.85,-2.77
2022-02-16 16:00:00-05:00,1.85,1.89,1.89
2021-11-18 16:00:00-05:00,1.96,1.94,-0.93
2021-08-19 16:00:00-04:00,1.78,1.9,6.82
2021-05-20 16:00:00-04:00,1.51,1.63,7.92
2021-02-18 16:00:00-05:00,1.28,1.39,8.75
2020-11-12 16:00:00-05:00,1.17,1.25,6.71
2020-08-13 16:00:00-04:00,0.95,1.06,11.88
